P1 - DS_WallThickness,P2 - DS_Width,P3 - DS_Height,P4 - DS_FloorThickness,P8 - DS_Length,P6 - Directional Deformation Maximum [m],P7 - Geometry Mass [kg]
0.05088449,0.37054556,0.37468892,0.06178754,27.9727241,0.002384756,0.083512883
0.05315048,0.37054556,0.37468892,0.18761024,27.9727241,0.002313438,0.086585962
0.05628269,0.37054556,0.37468892,0.11952506,27.9727241,0.002226203,0.090744825
0.05164008,0.37054556,0.37468892,0.13853328,27.9727241,0.002360114,0.084543609
0.05826007,0.37054556,0.37468892,0.07932298,27.9727241,0.002176964,0.093317311
0.05547895,0.37054556,0.37468892,0.16964871,27.9727241,0.00224743,0.089687472
0.05228613,0.37054556,0.37468892,0.19300006,27.9727241,0.002339788,0.085420135
0.05943832,0.37054556,0.37468892,0.12473282,27.9727241,0.002149524,0.094830692
0.05015051,0.37054556,0.37468892,0.05287976,27.9727241,0.002409455,0.082505868
0.05816182,0.37054556,0.37468892,0.15062441,27.9727241,0.002179305,0.09319046
0.05456563,0.37054556,0.37468892,0.17315249,27.9727241,0.002272511,0.088477728
0.05362128,0.37054556,0.37468892,0.0821573,27.9727241,0.002299562,0.087217664
0.05998905,0.37054556,0.37468892,0.1086998,27.9727241,0.002137164,0.095533086
0.05506244,0.37054556,0.37468892,0.09118089,27.9727241,0.002258754,0.089136868
0.05717306,0.37054556,0.37468892,0.14069517,27.9727241,0.002203494,0.091908231
0.05512083,0.75515437,0.20045121,0.19858208,13.98829806,0.000101435,0.043150243
0.0979819,0.75515437,0.20045121,0.05877482,13.98829806,6.04E-05,0.066920072
0.0609467,0.75515437,0.20045121,0.14658797,13.98829806,9.20E-05,0.0468532
0.07322901,0.75515437,0.20045121,0.11339342,13.98829806,7.74E-05,0.05416042
0.103597,0.75515437,0.20045121,0.12500553,13.98829806,5.80E-05,0.069465827
0.08817751,0.75515437,0.20045121,0.09718113,13.98829806,6.57E-05,0.062171155
0.08063676,0.75515437,0.20045121,0.16225185,13.98829806,7.09E-05,0.058248704
0.07764919,0.75515437,0.20045121,0.13741716,13.98829806,7.33E-05,0.056628239
0.11817366,0.75515437,0.20045121,0.17651007,13.98829806,5.31E-05,0.075503987
0.11343154,0.75515437,0.20045121,0.18590929,13.98829806,5.45E-05,0.073628324
0.06671539,0.75515437,0.20045121,0.07999274,13.98829806,8.44E-05,0.050368585
0.052336,0.75515437,0.20045121,0.10281599,13.98829806,0.000106708,0.04132517
0.09408294,0.75515437,0.20045121,0.15341834,13.98829806,6.23E-05,0.06507834
0.10609376,0.75515437,0.20045121,0.08152255,13.98829806,5.70E-05,0.070557956
0.12287938,0.75515437,0.20045121,0.06925636,13.98829806,5.19E-05,0.077282757
0.06550666,1.18451389,0.49221073,0.16499686,22.87960426,6.23E-05,0.178696112
0.08206522,1.18451389,0.49221073,0.1374663,22.87960426,5.22E-05,0.217739381
0.07166825,1.18451389,0.49221073,0.19672709,22.87960426,5.80E-05,0.193502634
0.07905168,1.18451389,0.49221073,0.14089402,22.87960426,5.37E-05,0.21081032
0.08774294,1.18451389,0.49221073,0.17998181,22.87960426,4.96E-05,0.230583362
0.0924624,1.18451389,0.49221073,0.10589304,22.87960426,4.77E-05,0.241051468
0.10411522,1.18451389,0.49221073,0.18884837,22.87960426,4.37E-05,0.266098949
0.11182088,1.18451389,0.49221073,0.05425918,22.87960426,4.16E-05,0.282045571
0.06223022,1.18451389,0.49221073,0.06181734,22.87960426,6.49E-05,0.170687005
0.05539644,1.18451389,0.49221073,0.1151819,22.87960426,7.14E-05,0.153676318
0.12157516,1.18451389,0.49221073,0.07207533,22.87960426,3.93E-05,0.301539554
0.09791118,1.18451389,0.49221073,0.12945334,22.87960426,4.57E-05,0.252904323
0.10673117,1.18451389,0.49221073,0.08637711,22.87960426,4.30E-05,0.271567157
0.05253452,1.18451389,0.49221073,0.15679532,22.87960426,7.46E-05,0.146428748
0.1168492,1.18451389,0.49221073,0.09643587,22.87960426,4.03E-05,0.292190565
0.0779747,0.7106563,0.67560426,0.13066262,25.96076658,0.000191991,0.230384239
0.08618737,0.7106563,0.67560426,0.06250937,25.96076658,0.000179689,0.250778335
0.05753677,0.7106563,0.67560426,0.11311599,25.96076658,0.000238749,0.176498662
0.10028159,0.7106563,0.67560426,0.05070157,25.96076658,0.000163639,0.284123139
0.10747708,0.7106563,0.67560426,0.0867153,25.96076658,0.000157247,0.300349648
0.09280554,0.7106563,0.67560426,0.16529063,25.96076658,0.000171477,0.266694818
0.12477568,0.7106563,0.67560426,0.09304868,25.96076658,0.000145428,0.33718892
0.1135667,0.7106563,0.67560426,0.14391943,25.96076658,0.000152584,0.313665992
0.06956648,0.7106563,0.67560426,0.12518913,25.96076658,0.000207792,0.208760231
