P1 - DS_WallThickness,P2 - DS_Width,P3 - DS_Height,P4 - DS_FloorThickness,P8 - DS_Length,P6 - Directional Deformation Maximum
0.06058182,0.61913695,0.80910929,0.44717016,23.44931409,0.007708273
0.30168379,1.59172163,0.98120809,0.78756407,27.25331449,0.00056145
0.30223455,2.26511386,1.36424727,0.14427941,27.42247031,0.000227068
0.30399475,1.16945219,0.90350568,0.76892729,12.77552586,0.000107778
0.31150394,1.9113545,0.39422362,0.24795306,14.43678853,8.33E-05
0.31242145,2.16279335,1.48422671,0.67839283,16.57041486,4.69E-05
0.31277303,1.75749073,0.74033651,0.70727871,17.4142036,0.000124165
0.3264969,1.05891952,0.36904493,0.27929957,11.30581157,0.000197206
0.33777037,1.05891952,0.36904493,0.14629234,11.30581157,0.00019658
0.34737726,1.36620593,0.65975249,0.4543762,20.01058534,0.000365905
0.35718352,2.26511386,1.36424727,0.8149155,27.42247031,0.000217309
0.3614576,2.96667873,1.09888714,0.31028009,24.45294314,9.51E-05
0.36378285,1.36620593,0.65975249,0.52995377,20.01058534,0.000362982
0.36411169,2.77346893,1.1563475,0.23114957,18.97457451,4.76E-05
0.37022405,2.16279335,1.48422671,0.50990973,16.57041486,4.36E-05
0.37233098,2.51019943,0.47753087,0.22929835,21.20226405,0.000117952
0.37402005,1.16945219,0.90350568,0.24918179,12.77552586,0.000102259
0.37485395,1.59172163,0.98120809,0.26913216,27.25331449,0.000538191
0.37568374,1.75749073,0.74033651,0.55808432,17.4142036,0.00011601
0.37736922,2.46791409,0.80972586,0.74157249,29.58913837,0.000290155
0.3809903,1.9113545,0.39422362,0.0892396,14.43678853,7.78E-05
0.38441863,1.16945219,0.90350568,0.43341175,12.77552586,0.000101809
0.3850153,1.59172163,0.98120809,0.4131849,27.25331449,0.00053639
0.39056326,2.77346893,1.1563475,0.34119675,18.97457451,4.61E-05
0.3909069,1.36620593,0.65975249,0.08705967,20.01058534,0.000359334
0.3919413,1.75749073,0.74033651,0.18675679,17.4142036,0.000114622
0.41018942,1.16945219,0.90350568,0.88807538,12.77552586,0.000100934
0.42432004,2.26511386,1.36424727,0.43142096,27.42247031,0.000209987
0.4265574,1.36620593,0.65975249,0.24989814,20.01058534,0.000356488
0.43028749,1.59172163,0.98120809,0.71164728,27.25331449,0.000530864
0.437336,2.96667873,1.09888714,0.12471786,24.45294314,8.92E-05
0.44127295,1.75749073,0.74033651,0.07153767,17.4142036,0.000111325
0.44689697,2.51019943,0.47753087,0.31783635,21.20226405,0.00011212
0.45208728,1.16945219,0.90350568,0.6025014,12.77552586,0.000100181
0.46602306,2.46791409,0.80972586,0.27911996,29.58913837,0.000276968
0.46735505,2.16279335,1.48422671,0.18444065,16.57041486,4.00E-05
0.47656927,2.77346893,1.1563475,0.121383,18.97457451,4.25E-05
0.48047179,1.36620593,0.65975249,0.1187165,20.01058534,0.000354571
0.48083328,2.26511386,1.36424727,0.07794216,27.42247031,0.000206282
0.48129266,1.59172163,0.98120809,0.54714544,27.25331449,0.000528767
0.50293458,2.16279335,1.48422671,1.34669546,16.57041486,3.92E-05
0.50509928,1.75749073,0.74033651,0.12829475,17.4142036,0.00010892
0.51405491,2.46791409,0.80972586,0.76800956,29.58913837,0.000273222
0.51689921,1.36620593,0.65975249,0.55613537,20.01058534,0.000354379
0.52846854,1.36620593,0.65975249,0.18793311,20.01058534,0.000354408
0.53588358,1.75749073,0.74033651,0.3880075,17.4142036,0.000108307
0.53758103,1.59172163,0.98120809,0.8260663,27.25331449,0.000529378
0.5439144,2.16279335,1.48422671,0.57242012,16.57041486,3.84E-05
0.55436403,2.77346893,1.1563475,0.51813956,18.97457451,4.04E-05
0.55613535,2.26511386,1.36424727,0.6118919,27.42247031,0.000203616
0.56057547,1.59172163,0.98120809,0.51907064,27.25331449,0.000530086
0.56261473,2.96667873,1.09888714,0.45268136,24.45294314,8.34E-05
0.5796382,1.75749073,0.74033651,0.23460541,17.4142036,0.000107816
0.58350714,2.26511386,1.36424727,0.98776301,27.42247031,0.000203198
0.5973112,2.46791409,0.80972586,0.39390232,29.58913837,0.000270218
0.6085257,1.59172163,0.98120809,0.07573771,27.25331449,0.000532121
0.61799924,2.96667873,1.09888714,0.66566368,24.45294314,8.20E-05
0.62621246,2.46791409,0.80972586,0.54442282,29.58913837,0.000269856
0.62699214,1.75749073,0.74033651,0.33624418,17.4142036,0.000107605
0.65169986,2.16279335,1.48422671,1.41204195,16.57041486,3.75E-05
0.65243647,1.59172163,0.98120809,0.88246371,27.25331449,0.000533895
0.66226566,2.16279335,1.48422671,0.29697459,16.57041486,3.75E-05
0.67343615,2.26511386,1.36424727,0.51457483,27.42247031,0.000202915
0.68445865,2.77346893,1.1563475,1.05633927,18.97457451,3.83E-05
0.6867827,1.75749073,0.74033651,0.42880274,17.4142036,0.000107557
0.71233655,2.96667873,1.09888714,0.55387619,24.45294314,8.05E-05
0.73115857,2.26511386,1.36424727,1.23382006,27.42247031,0.000203357
0.73840737,2.16279335,1.48422671,0.94557305,16.57041486,3.75E-05
0.74881234,2.46791409,0.80972586,0.40587937,29.58913837,0.000270739
0.75700966,2.77346893,1.1563475,0.86887016,18.97457451,3.77E-05
0.76508229,2.26511386,1.36424727,0.24927686,27.42247031,0.000204194
0.76546492,2.46791409,0.80972586,0.17334375,29.58913837,0.000271071
0.7664425,2.96667873,1.09888714,1.007999,24.45294314,7.99E-05
0.8052596,2.77346893,1.1563475,0.19725254,18.97457451,3.74E-05
0.80703448,2.16279335,1.48422671,1.07156179,16.57041486,3.76E-05
0.83897347,2.26511386,1.36424727,1.07752483,27.42247031,0.000206034
0.88223776,2.96667873,1.09888714,0.2266722,24.45294314,7.96E-05
0.88946807,2.16279335,1.48422671,0.10369164,16.57041486,3.76E-05
0.90225314,2.26511386,1.36424727,0.37519929,27.42247031,0.000207335
0.91998271,2.77346893,1.1563475,0.85651462,18.97457451,3.74E-05
0.97019308,2.77346893,1.1563475,1.10897061,18.97457451,3.74E-05
0.97097357,2.96667873,1.09888714,0.490342,24.45294314,7.99E-05
0.98460847,2.26511386,1.36424727,0.68048341,27.42247031,0.000208483
1.05258621,2.77346893,1.1563475,0.65567289,18.97457451,3.74E-05
1.06176064,2.96667873,1.09888714,0.70823557,24.45294314,8.01E-05
